Title,Overall_income,Budget,Rating,Genre,Languages,Countries,Countries_GDP
Dumbo,353166307,170000000,PG,Adventure,['English'],['United States'],26949643000000.0
John Wick: Chapter 3 — Parabellum,326685379,75000000,R,Action,['English'],['United States'],26949643000000.0
Feng Kuang De Wai Xing Ren,326150303,0,G,Comedy,['Mandarin'],['China'],17700899000000.0
Knives Out,312898746,40000000,PG-13,Drama,['English'],['United States'],26949643000000.0
Us,256022707,20000000,R,Thriller/Suspense,['English'],['United States'],26949643000000.0
Fei Chi Ren Sheng,255832826,0,G,Comedy,['Mandarin'],['China'],17700899000000.0
Men in Black: International,254310003,110000000,PG-13,Adventure,['English'],['United States'],26949643000000.0
Gisaengchung (기생충),253370908,11800000,R,Black Comedy,['Korean'],['South Korea'],1709232000000.0
Terminator: Dark Fate,250367666,185000000,R,Action,['English'],['United States'],26949643000000.0
Glass,246999039,20000000,PG-13,Thriller/Suspense,['English'],['United States'],26949643000000.0
Dark Phoenix,246356895,200000000,PG-13,Action,['English'],['United States'],26949643000000.0
Lie huo ying xiong,245179530,0,PG-13,Drama,['Mandarin'],['China'],17700899000000.0
Annabelle Comes Home,230779191,27000000,R,Horror,['English'],['United States'],26949643000000.0
Shao Nian De Ni,230104810,0,,Drama,['Mandarin'],['China'],17700899000000.0
Ford v. Ferrari,224390706,97600000,PG-13,Drama,['English'],['United States'],26949643000000.0
Little Women,218838386,42000000,PG,Drama,['English'],['United States'],26949643000000.0
The Addams Family,200588546,24000000,PG,Adventure,['English'],['United States'],26949643000000.0
Wu Sha,199276793,0,G,Drama,['Mandarin'],['China'],17700899000000.0
Downton Abbey,194694725,0,PG,Drama,['English'],['United Kingdom'],3332059000000.0
Yip Man 4,192617891,0,,Action,['Cantonese'],['Hong Kong'],385546000000.0
Rocketman,190995193,41000000,R,Drama,['English'],"['United Kingdom', 'United States']",30281702000000.0
The LEGO Movie 2: The Second Part,190131035,99000000,PG,Adventure,['English'],"['Australia', 'Canada', 'Denmark', 'United States']",31175961000000.0
Tenki no Ko,189991169,0,PG-13,Drama,['Japanese'],['Japan'],4230862000000.0
Abominable,188668688,75000000,PG,Adventure,['English'],"['China', 'United States']",44650542000000.0
The White Storm 2: Drug Lords,185427900,0,,Action,['Cantonese'],"['China', 'Hong Kong']",18086445000000.0
Pan Deng Zhe,174008804,0,,Adventure,['Mandarin'],['China'],17700899000000.0
Gemini Man,166598362,140000000,PG-13,Action,['English'],['United States'],26949643000000.0
Spies in Disguise,165124093,100000000,PG,Adventure,['English'],['United States'],26949643000000.0
Escape Room,155615727,9000000,PG-13,Horror,['English'],['United States'],26949643000000.0
Yesterday,154783324,0,PG-13,Romantic Comedy,['English'],['United Kingdom'],3332059000000.0
The Angry Birds Movie 2,152255188,65000000,PG,Adventure,['English'],"['Finland', 'United States']",27255332000000.0
Hustlers,150467919,20700000,R,Drama,['English'],['United States'],26949643000000.0
Ad Astra,135406280,80000000,PG-13,Thriller/Suspense,['English'],"['Brazil', 'United States']",29076452000000.0
Angel Has Fallen,133345583,40000000,R,Thriller/Suspense,['English'],['United States'],26949643000000.0
Yin He Bu Xi Ban,127897924,0,,Drama,['Mandarin'],['China'],17700899000000.0
Midway,126815030,100000000,PG-13,Action,['English'],"['Canada', 'United States']",29067448000000.0
The Upside,125818440,37500000,PG-13,Comedy,['English'],['United States'],26949643000000.0
Zombieland: Double Tap,125213018,48000000,R,Comedy,['English'],['United States'],26949643000000.0
Extreme Crisis,124169976,0,G,Drama,[],['China'],17700899000000.0
Last Christmas,123428868,30000000,PG-13,Romantic Comedy,['English'],"['United Kingdom', 'United States']",30281702000000.0
The Curse of La Llorona,123133739,9000000,R,Horror,['English'],['United States'],26949643000000.0
Dora and the Lost City of Gold,120592276,49000000,PG,Adventure,['English'],"['Australia', 'United States']",28637356000000.0
Meitantei Conan: Konjo no Fisuto,117776017,0,,Adventure,['Japanese'],['Japan'],4230862000000.0
Geukhanjikeob,116127561,0,,Action,['Korean'],['South Korea'],1709232000000.0
Fan Tan Feng Bao 4,115687407,0,G,Action,"['Cantonese', 'Mandarin']","['China', 'Hong Kong']",18086445000000.0
Wonder Park,115103325,100000000,PG,Adventure,['English'],"['Spain', 'United States']",28531697000000.0
